question,ground_truth,contexts,evolution_type
"Dựa trên các con số sau, hãy xác định VinTech có tuân thủ quy định bảo vệ dữ liệu cá nhân của Việt Nam không nếu các thông số không đổi?","Có, VinTech tuân thủ Nghị định 13/2023/NĐ-CP với mã hóa AES-256 và không bán dữ liệu cho bên thứ ba.",['VinTech tuân thủ Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân tại Việt Nam. Dữ liệu khách hàng được mã hóa AES-256 khi lưu trữ và TLS 1.3 khi truyền tải. VinTech không bán dữ liệu cho bên thứ ba.'],reasoning
Xem x?t ??ng th?i c?c d? li?u v? cho bi?t So sánh số nhân viên của VinTech và tỷ lệ nhân viên kỹ thuật với doanh thu mảng kỹ thuật (VinCloud + VinAI) t? ?t nh?t hai ?o?n d? li?u?,3.000 nhân viên kỹ thuật tạo ra 1.375 tỷ doanh thu (~458 triệu VND/người).,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%.', 'Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).']",multi_context
X?c ??nh r? ? VinTech Doanh thu của VinTech năm 2023 là bao nhiêu trong ng? c?nh t?i li?u ?? cho?,"Doanh thu VinTech năm 2023 đạt 2.500 tỷ VND, tăng 25% so với năm 2022.","['Năm 2023, VinTech đạt doanh thu 2.500 tỷ VND (tăng 25% YoY). Lợi nhuận sau thuế 375 tỷ VND (biên lợi nhuận 15%).', 'VinTech là công ty công nghệ hàng đầu Việt Nam, được thành lập năm 2010. Doanh thu năm 2023 đạt 2.500 tỷ VND, tăng 25% so với năm 2022.']",simple
"D?a v?o c? hai ?o?n th?ng tin, h?y x?c ??nh h?y so s?nh Mảng nào đóng góp nhiều nhất vào doanh thu VinTech và chi phí cơ bản của mảng đó là bao nhiêu khi k?t h?p nhi?u th?ng tin li?n quan?","VinCloud chiếm 40% doanh thu (1.000 tỷ VND), gói Basic giá 500.000 VND/tháng.","['Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).', 'VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá).']",multi_context
T?m t?t v? VinCloud có bao nhiêu gói dịch vụ và giá mỗi gói là bao nhiêu ng?n g?n theo d? li?u cung c?p?,"VinCloud có 3 gói: Basic 500.000 VND/tháng, Pro 2.000.000 VND/tháng, Enterprise liên hệ báo giá.","['VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá, không giới hạn).']",simple
X?c ??nh r? xin h?y Chính sách hoàn tiền trong 7 ngày đầu của VinTech như thế nào trong ng? c?nh t?i li?u ?? cho?,Hoàn 100% nếu hủy trong 7 ngày đầu và chưa sử dụng dịch vụ.,['VinTech áp dụng chính sách hoàn tiền như sau: Hoàn 100% nếu hủy trong vòng 7 ngày kể từ ngày kích hoạt (chưa sử dụng). Hoàn 50% nếu hủy trong ngày 8-30.'],simple
Ph?i h?p d? li?u v? So sánh số nhân viên của VinTech và tỷ lệ nhân viên kỹ thuật với doanh thu mảng kỹ thuật (VinCloud + VinAI) khi k?t h?p nhi?u th?ng tin li?n quan?,3.000 nhân viên kỹ thuật tạo ra 1.375 tỷ doanh thu (~458 triệu VND/người).,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%.', 'Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).']",multi_context
K?t n?i c?c th?ng tin d??i ??y ?? tr? l?i v? So sánh số nhân viên của VinTech và tỷ lệ nhân viên kỹ thuật với doanh thu mảng kỹ thuật (VinCloud + VinAI) khi k?t h?p nhi?u th?ng tin li?n quan?,3.000 nhân viên kỹ thuật tạo ra 1.375 tỷ doanh thu (~458 triệu VND/người).,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%.', 'Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).']",multi_context
"T?ng h?p v? k?t lu?n h?y t?nh Nếu VinCloud downtime 12 giờ trong năm, khách hàng được bồi thường bao nhiêu trong b?i c?nh hi?n t?i?","Downtime 12 giờ > 8.76 giờ cam kết, uptime ~99.86%, bồi thường 10% phí tháng.","['VinCloud uptime cam kết 99.9% theo SLA. Nếu uptime dưới 99.9%, khách hàng được bồi thường: 99.0-99.9% → 10% phí tháng; 95.0-99.0% → 25% phí tháng; dưới 95.0% → 50% phí tháng.', 'Uptime cam kết 99.9% (downtime tối đa 8.76 giờ/năm).']",reasoning
Xin cho bi?t v? VinTech có bao nhiêu nhân viên trong ng? c?nh t?i li?u ?? cho?,5.000 nhân viên tính đến Q4 2023.,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%, Operations 15%, C-Suite/Management 5%.']",simple
"X?c ??nh theo suy lu?n Nếu VinCloud downtime 12 giờ trong năm, khách hàng được bồi thường bao nhiêu trong b?i c?nh hi?n t?i?","Downtime 12 giờ > 8.76 giờ cam kết, uptime ~99.86%, bồi thường 10% phí tháng.","['VinCloud uptime cam kết 99.9% theo SLA. Nếu uptime dưới 99.9%, khách hàng được bồi thường: 99.0-99.9% → 10% phí tháng; 95.0-99.0% → 25% phí tháng; dưới 95.0% → 50% phí tháng.', 'Uptime cam kết 99.9% (downtime tối đa 8.76 giờ/năm).']",reasoning
"T? c?c ngu?n d? li?u sau, h?y t?ng h?p h?y t?ng h?p Mảng nào đóng góp nhiều nhất vào doanh thu VinTech và chi phí cơ bản của mảng đó là bao nhiêu t? ?t nh?t hai ?o?n d? li?u?","VinCloud chiếm 40% doanh thu (1.000 tỷ VND), gói Basic giá 500.000 VND/tháng.","['Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).', 'VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá).']",multi_context
Tr?nh b?y VinCloud có bao nhiêu gói dịch vụ và giá mỗi gói là bao nhiêu trong ng? c?nh t?i li?u ?? cho?,"VinCloud có 3 gói: Basic 500.000 VND/tháng, Pro 2.000.000 VND/tháng, Enterprise liên hệ báo giá.","['VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá, không giới hạn).']",simple
M? t? ng?n ? VinTech VinCloud có bao nhiêu gói dịch vụ và giá mỗi gói là bao nhiêu trong ng? c?nh t?i li?u ?? cho?,"VinCloud có 3 gói: Basic 500.000 VND/tháng, Pro 2.000.000 VND/tháng, Enterprise liên hệ báo giá.","['VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá, không giới hạn).']",simple
"H?y suy lu?n v? Nếu VinCloud downtime 12 giờ trong năm, khách hàng được bồi thường bao nhiêu n?u c?c th?ng s? kh?ng ??i?","Downtime 12 giờ > 8.76 giờ cam kết, uptime ~99.86%, bồi thường 10% phí tháng.","['VinCloud uptime cam kết 99.9% theo SLA. Nếu uptime dưới 99.9%, khách hàng được bồi thường: 99.0-99.9% → 10% phí tháng; 95.0-99.0% → 25% phí tháng; dưới 95.0% → 50% phí tháng.', 'Uptime cam kết 99.9% (downtime tối đa 8.76 giờ/năm).']",reasoning
Gi? s? h?y t?nh VinTech có tuân thủ quy định bảo vệ dữ liệu cá nhân của Việt Nam không trong b?i c?nh hi?n t?i?,"Có, VinTech tuân thủ Nghị định 13/2023/NĐ-CP với mã hóa AES-256 và không bán dữ liệu cho bên thứ ba.",['VinTech tuân thủ Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân tại Việt Nam. Dữ liệu khách hàng được mã hóa AES-256 khi lưu trữ và TLS 1.3 khi truyền tải. VinTech không bán dữ liệu cho bên thứ ba.'],reasoning
Ph?i h?p d? li?u v? v? Mảng nào đóng góp nhiều nhất vào doanh thu VinTech và chi phí cơ bản của mảng đó là bao nhiêu t? ?t nh?t hai ?o?n d? li?u?,"VinCloud chiếm 40% doanh thu (1.000 tỷ VND), gói Basic giá 500.000 VND/tháng.","['Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).', 'VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá).']",multi_context
N?u v? VinTech có tuân thủ quy định bảo vệ dữ liệu cá nhân của Việt Nam không n?u c?c th?ng s? kh?ng ??i?,"Có, VinTech tuân thủ Nghị định 13/2023/NĐ-CP với mã hóa AES-256 và không bán dữ liệu cho bên thứ ba.",['VinTech tuân thủ Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân tại Việt Nam. Dữ liệu khách hàng được mã hóa AES-256 khi lưu trữ và TLS 1.3 khi truyền tải. VinTech không bán dữ liệu cho bên thứ ba.'],reasoning
"Xem x?t t?nh hu?ng v? Nếu VinCloud downtime 12 giờ trong năm, khách hàng được bồi thường bao nhiêu n?u c?c th?ng s? kh?ng ??i?","Downtime 12 giờ > 8.76 giờ cam kết, uptime ~99.86%, bồi thường 10% phí tháng.","['VinCloud uptime cam kết 99.9% theo SLA. Nếu uptime dưới 99.9%, khách hàng được bồi thường: 99.0-99.9% → 10% phí tháng; 95.0-99.0% → 25% phí tháng; dưới 95.0% → 50% phí tháng.', 'Uptime cam kết 99.9% (downtime tối đa 8.76 giờ/năm).']",reasoning
Trong tr??ng h?p v? VinTech có tuân thủ quy định bảo vệ dữ liệu cá nhân của Việt Nam không trong b?i c?nh hi?n t?i?,"Có, VinTech tuân thủ Nghị định 13/2023/NĐ-CP với mã hóa AES-256 và không bán dữ liệu cho bên thứ ba.",['VinTech tuân thủ Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân tại Việt Nam. Dữ liệu khách hàng được mã hóa AES-256 khi lưu trữ và TLS 1.3 khi truyền tải. VinTech không bán dữ liệu cho bên thứ ba.'],reasoning
K?t n?i c?c th?ng tin d??i ??y ?? tr? l?i h?y so s?nh Mảng nào đóng góp nhiều nhất vào doanh thu VinTech và chi phí cơ bản của mảng đó là bao nhiêu t? ?t nh?t hai ?o?n d? li?u?,"VinCloud chiếm 40% doanh thu (1.000 tỷ VND), gói Basic giá 500.000 VND/tháng.","['Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).', 'VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá).']",multi_context
"D?a v?o d? li?u, h?y suy ra v? Nếu doanh thu VinTech tăng trưởng cùng tốc độ năm 2023, doanh thu 2024 dự kiến là bao nhiêu n?u c?c th?ng s? kh?ng ??i?",Dự kiến 3.125 tỷ VND nếu tăng trưởng 25% như năm 2023.,"['Năm 2023, VinTech đạt doanh thu 2.500 tỷ VND (tăng 25% YoY).']",reasoning
Xin cho bi?t v? VinTech có bao nhiêu nhân viên trong ng? c?nh t?i li?u ?? cho?,5.000 nhân viên tính đến Q4 2023.,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%, Operations 15%, C-Suite/Management 5%.']",simple
H?y ph?n t?ch k?t h?p v? So sánh số nhân viên của VinTech và tỷ lệ nhân viên kỹ thuật với doanh thu mảng kỹ thuật (VinCloud + VinAI) t? ?t nh?t hai ?o?n d? li?u?,3.000 nhân viên kỹ thuật tạo ra 1.375 tỷ doanh thu (~458 triệu VND/người).,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%.', 'Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).']",multi_context
M? t? ng?n Chính sách hoàn tiền trong 7 ngày đầu của VinTech như thế nào ng?n g?n theo d? li?u cung c?p?,Hoàn 100% nếu hủy trong 7 ngày đầu và chưa sử dụng dịch vụ.,['VinTech áp dụng chính sách hoàn tiền như sau: Hoàn 100% nếu hủy trong vòng 7 ngày kể từ ngày kích hoạt (chưa sử dụng). Hoàn 50% nếu hủy trong ngày 8-30.'],simple
H?y ??i chi?u v? Mảng nào đóng góp nhiều nhất vào doanh thu VinTech và chi phí cơ bản của mảng đó là bao nhiêu t? ?t nh?t hai ?o?n d? li?u?,"VinCloud chiếm 40% doanh thu (1.000 tỷ VND), gói Basic giá 500.000 VND/tháng.","['Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).', 'VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá).']",multi_context
"Trong tr??ng h?p Nếu doanh thu VinTech tăng trưởng cùng tốc độ năm 2023, doanh thu 2024 dự kiến là bao nhiêu trong b?i c?nh hi?n t?i?",Dự kiến 3.125 tỷ VND nếu tăng trưởng 25% như năm 2023.,"['Năm 2023, VinTech đạt doanh thu 2.500 tỷ VND (tăng 25% YoY).']",reasoning
"D?a v?o d? li?u, h?y suy ra v? VinTech có tuân thủ quy định bảo vệ dữ liệu cá nhân của Việt Nam không n?u c?c th?ng s? kh?ng ??i?","Có, VinTech tuân thủ Nghị định 13/2023/NĐ-CP với mã hóa AES-256 và không bán dữ liệu cho bên thứ ba.",['VinTech tuân thủ Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân tại Việt Nam. Dữ liệu khách hàng được mã hóa AES-256 khi lưu trữ và TLS 1.3 khi truyền tải. VinTech không bán dữ liệu cho bên thứ ba.'],reasoning
